Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 18-Jun-2025),Crossref citations (as of 18-Jun-2025)
The role of education in promoting circular economy,"Holuszko Maria, Nani Pajunen, Maija Tiippana-Usvasalo",International Journal of Sustainable Engineering,16,1,p92 - p103,2023,10.1080/19397038.2023.2210592,18-May-2023,https://doi.org/10.1080/19397038.2023.2210592,6590.0,15.0
Indicator development as a site of collective imagination? The case of European Commission policies on the circular economy,"Zora Kovacic, Roger Strand, Thomas Völker",Culture and Organization,26,2,p103 - p120,2020,10.1080/14759551.2019.1699092,12-Jan-2020,https://doi.org/10.1080/14759551.2019.1699092,7345.0,70.0
Mapping the first decade of circular economy research: a bibliometric network analysis,"Mohamad Alnajem, Ahmed R ElMelegy, Mohamed M Mostafa",Journal of Industrial and Production Engineering,38,1,p29 - p50,2021,10.1080/21681015.2020.1838632,27-Oct-2020,https://doi.org/10.1080/21681015.2020.1838632,1703.0,70.0
Transitions in planning: transformative policy visions of the circular economy and blue bioeconomy meet planning practice,"David Lazarevic, Jani Petteri Lukkarinen, Hanna Nieminen",European Planning Studies,31,1,p55 - p75,2023,10.1080/09654313.2022.2060706,05-Apr-2022,https://doi.org/10.1080/09654313.2022.2060706,5165.0,18.0
Analysis of the relations between circular economy and sustainable development goals,"M D M Alonso-Almeida, M S Celemín-Pedroche, J M Rodriguez-Anton, L Rubio-Andrada",International Journal of Sustainable Development & World Ecology,26,8,p708 - p720,2019,10.1080/13504509.2019.1666754,21-Sep-2019,https://doi.org/10.1080/13504509.2019.1666754,5389.0,181.0
Microalgae and circular economy: unlocking waste to resource pathways for sustainable development,"Telma Encarnação, Filomena Freitas, Bruna Santos, Abílio J F N Sobral",International Journal of Sustainable Engineering,18,1,,2025,10.1080/19397038.2025.2501488,14-May-2025,https://doi.org/10.1080/19397038.2025.2501488,443.0,0.0
The circular economy in Aotearoa New Zealand: a critical evaluation of policy and its current prospects,"Patrick Barrett, Shannon Hodge, Priya Kurian",Kōtuitui: New Zealand Journal of Social Sciences Online,,,p1 - p20,5187,10.1080/1177083x.2025.2504489,26-May-2025,https://doi.org/10.1080/1177083x.2025.2504489,200.0,0.0
Analysis of the degree of implementation of the circular economy in Europe and Spain,"Silvia M Andrade, María del Valle Fernández, José Manuel Robles, Marta Tolentino",Cogent Business & Management,12,1,,2025,10.1080/23311975.2025.2499668,05-May-2025,https://doi.org/10.1080/23311975.2025.2499668,386.0,0.0
Regional monitoring frameworks for the circular economy: implications from a territorial perspective,"Marco Bianchi, Mauro Cordella, Pierre Menger",European Planning Studies,31,1,p36 - p54,2023,10.1080/09654313.2022.2057185,28-Mar-2022,https://doi.org/10.1080/09654313.2022.2057185,3819.0,21.0
"Sustainable circular cities? Analysing urban circular economy policies in Amsterdam, Glasgow, and Copenhagen","Peppi Boesler, Martin Calisto Friant, Katie Reid, Roberta Salomone, Walter J V Vermeulen",Local Environment,28,10,p1331 - p1369,2023,10.1080/13549839.2023.2206643,10-May-2023,https://doi.org/10.1080/13549839.2023.2206643,10772.0,32.0
